Benchmark                        (shape)  Mode  Cnt    Score    Error  Units
EscapeBench.chars            clean_short  avgt   24   12.530 ±  1.330  ns/op
EscapeBench.chars             clean_long  avgt   24   93.458 ±  0.474  ns/op
EscapeBench.chars             mixed_long  avgt   24  295.145 ±  0.231  ns/op
EscapeBench.chars               low_long  avgt   24  270.018 ±  0.355  ns/op
EscapeBench.chars                 sparse  avgt   24  412.046 ±  0.805  ns/op
EscapeBench.chars                  dense  avgt   24  225.778 ±  0.213  ns/op
EscapeBench.chars               controls  avgt   24  227.134 ±  0.667  ns/op
EscapeBench.charsBranchless  clean_short  avgt   24   15.096 ±  0.022  ns/op
EscapeBench.charsBranchless   clean_long  avgt   24  269.922 ±  0.497  ns/op
EscapeBench.charsBranchless   mixed_long  avgt   24  269.783 ±  0.151  ns/op
EscapeBench.charsBranchless     low_long  avgt   24  271.144 ±  2.206  ns/op
EscapeBench.charsBranchless       sparse  avgt   24  416.604 ±  1.386  ns/op
EscapeBench.charsBranchless        dense  avgt   24  256.059 ±  0.333  ns/op
EscapeBench.charsBranchless     controls  avgt   24  267.153 ±  1.142  ns/op
EscapeBench.current          clean_short  avgt   24   16.002 ±  1.289  ns/op
EscapeBench.current           clean_long  avgt   24  275.535 ±  3.093  ns/op
EscapeBench.current           mixed_long  avgt   24  272.000 ±  2.586  ns/op
EscapeBench.current             low_long  avgt   24  269.521 ±  0.068  ns/op
EscapeBench.current               sparse  avgt   24  846.729 ± 18.050  ns/op
EscapeBench.current                dense  avgt   24  244.203 ±  0.358  ns/op
EscapeBench.current             controls  avgt   24  313.421 ±  0.362  ns/op
EscapeBench.runsClean        clean_short  avgt   24   14.462 ±  0.035  ns/op
EscapeBench.runsClean         clean_long  avgt   24  268.423 ±  0.274  ns/op
EscapeBench.runsClean         mixed_long  avgt   24  268.544 ±  0.363  ns/op
EscapeBench.runsClean           low_long  avgt   24  268.580 ±  0.588  ns/op
EscapeBench.runsClean             sparse  avgt   24  588.478 ±  1.250  ns/op
EscapeBench.runsClean              dense  avgt   24  265.197 ±  0.282  ns/op
EscapeBench.runsClean           controls  avgt   24  324.151 ±  1.992  ns/op
EscapeBench.runsTable        clean_short  avgt   24    7.116 ±  0.074  ns/op
EscapeBench.runsTable         clean_long  avgt   24   92.423 ±  0.096  ns/op
EscapeBench.runsTable         mixed_long  avgt   24  293.112 ±  0.107  ns/op
EscapeBench.runsTable           low_long  avgt   24  268.095 ±  0.341  ns/op
EscapeBench.runsTable             sparse  avgt   24  431.930 ±  3.068  ns/op
EscapeBench.runsTable              dense  avgt   24  249.647 ±  0.147  ns/op
EscapeBench.runsTable           controls  avgt   24  291.351 ±  1.352  ns/op
